time_us,current_A
2926687,0.000122
2927238,0.000122
2927786,0.0
2928337,0.0
2928885,0.0
2929435,0.0
2929983,0.0
2930534,0.000244
2931085,0.0
2931633,0.0
2932184,0.000244
2932732,0.000122
2933283,0.0
2933831,0.0
2934381,0.0
2934930,0.000122
2935480,0.000244
2936031,0.000244
2936579,0.000244
2937130,0.0
2937678,0.0
2938229,0.000122
2938777,0.000244
2939328,0.0
2939876,0.000122
2940427,0.0
2940975,0.0
2941525,0.0
2942076,0.000122
2942624,0.000122
2943175,0.0
2943723,0.0
2944274,0.000244
2944822,0.0
2945373,0.000244
2945921,0.000122
2946472,0.000122
2947023,0.0
2947571,0.0
2948121,0.0
2948669,0.0
2949220,0.0
2949768,0.0
2950319,0.0
2950867,0.000122
2951418,0.000122
2951966,0.000122
2952517,0.000122
2953068,0.000244
2953616,0.000244
2954166,0.0
2954714,0.0
2955265,0.000122
2955813,0.000122
2956364,0.0
2956912,0.0
2957463,0.000122
2958014,0.0
2958562,0.0
2959113,0.000244
2959661,0.000122
2960211,0.000122
2960760,0.000122
2961310,0.000122
2961858,0.000122
2962409,0.000244
2962957,0.0
2963508,0.000122
2964059,0.0
2964607,0.0
2965158,0.000122
2965706,0.0
2966257,0.000244
2966805,0.0
2967355,0.0
2967903,0.0
2968454,0.0
2969005,0.0
2969553,0.000244
2970104,0.000122
2970652,0.000244
2971203,0.0
2971751,0.000122
2972302,0.0
2972850,0.0
2973401,0.000122
2973949,0.000244
2974499,0.000122
2975050,0.0
2975598,0.0
2976149,0.000244
2976697,0.000122
2977248,0.0
2977796,0.000122
2978347,0.000122
2978895,0.0
2979446,0.000122
2979994,0.0
2980545,0.0
2981095,0.0
2981643,0.0
2982194,0.000122
2982742,0.000122
2983293,0.000244
2983841,0.000122
2984392,0.0
2984940,0.0
2985491,0.0
2986042,0.0
2986590,0.0
2987141,0.0
2987689,0.000122
2988239,0.0
2988787,0.0
2989338,0.0
2989886,0.000122
2990437,0.000122
2990985,0.000122
2991536,0.000122
2992087,0.0
2992635,0.0
2993186,0.0
2993734,0.0
2994284,0.0
2994832,0.0
2995383,0.0
2995931,0.000122
2996482,0.0
2997033,0.0
2997581,0.000122
2998132,0.0
2998680,0.0
2999230,0.0
2999779,0.0
3000329,0.000122
3000877,0.0
3001428,0.0
3001976,0.0
3002527,0.0
3003078,0.000122
3003626,0.000122
3004177,0.000244
3004725,0.0
3005276,0.0
3005824,0.0
3006374,0.0
3006923,0.000122
3007473,0.0
3008024,0.0
3008572,0.0
3009123,0.000122
3009671,0.000122
3010222,0.0
3010770,0.0
3011321,0.000122
3011869,0.000122
3012420,0.000244
3012968,0.000122
3013519,0.000122
3014069,0.000122
3014617,0.0
3015168,0.0
3015716,0.0
3016267,0.000122
3016815,0.0
3017366,0.000122
3017914,0.000122
3018465,0.000122
3019015,0.000122
3019564,0.000122
3020114,0.0
3020662,0.000122
3021213,0.0
3021761,0.000122
3022312,0.0
3022860,0.0
3023411,0.0
3023959,0.0
3024510,0.0
3025061,0.000244
3025609,0.000244
3026160,0.000122
3026708,0.0
3027258,0.0
3027806,0.000244
3028357,0.000122
3028905,0.000122
3029456,0.0
3030007,0.0
3030555,0.0
3031106,0.000244
3031654,0.0
3032205,0.0
3032753,0.000122
3033304,0.000122
3033852,0.0
3034402,0.0
3034950,0.0
3035501,0.000122
3036052,0.000244
3036600,0.0
3037151,0.000122
3037699,0.000244
3038250,0.0
3038798,0.000122
3039349,0.0
3039897,0.0
3040447,0.000244
3040995,0.0
3041546,0.0
3042097,0.0
3042645,0.000122
3043196,0.0
3043744,0.0
3044295,0.0
3044843,0.0
3045394,0.0
3045942,0.0
3046493,0.0
3047043,0.0
3047591,0.0
3048142,0.0
3048690,0.000122
3049241,0.000122
3049789,0.000122
3050340,0.000122
3050888,0.000122
3051439,0.000122
3051987,0.000122
3052538,0.000122
3053089,0.0
3053637,0.000122
3054188,0.000122
3054736,0.000244
3055286,0.000244
3055878,0.0
3056468,0.0
3057019,0.000366
3057591,0.000244
3058142,0.0
3058733,0.0
3059284,0.0
3059872,0.0
3060447,0.000122
3060995,0.000122
3061590,0.0
3062140,0.000122
3062728,0.0
3063279,0.000122
3063852,0.000122
3064446,0.0
3064994,0.000122
3065585,0.0
3066135,0.000122
3066708,0.000122
3067259,0.000122
3067845,0.000244
3068442,0.0
3068990,0.0
3069567,0.0
3070118,0.0
3070709,0.000122
3071260,0.0
3071848,0.0
3072423,0.0
3072971,0.0
3073558,0.0
3074109,0.0
3074684,0.0
3075235,0.0
3075821,0.0
3076418,0.0
3076966,0.0
3077542,0.0
3078093,0.000122
3078684,0.0
3079235,0.0
3079823,0.0
3080398,0.000244
3080946,0.0
3081497,0.0
3082048,0.000122
3082596,0.0
3083146,0.0
3083694,0.0
3084245,0.000122
3084793,0.000122
3085344,0.000122
3085892,0.0
3086443,0.000122
3086991,0.000122
3087542,0.000244
3088093,0.000244
3088641,0.000244
3089192,0.000122
3089740,0.0
3090290,0.0
3090838,0.0
3091389,0.000122
3091937,0.000122
3092488,0.0
3093039,0.000366
3093587,0.0
3094138,0.000244
3094686,0.000122
3095237,0.0
3095785,0.0
3096336,0.000122
3096884,0.0
3097435,0.000122
3097983,0.000122
3098534,0.000366
3099084,0.000122
3099632,0.000122
3100183,0.000244
3100731,0.0
3101282,0.0
3101830,0.000122
3102381,0.000244
3102929,0.0
3103480,0.000122
3104031,0.000122
3104579,0.0
3105130,0.0
3105678,0.0
3106228,0.000122
3106776,0.0
3107327,0.000122
3107875,0.000122
3108426,0.000122
3108974,0.000122
3109525,0.0
3110076,0.0
3110624,0.000122
3111175,0.0
3111723,0.0
3112274,0.0
3112822,0.0
3113372,0.000122
3113920,0.0
3114471,0.0
3115022,0.0
3115570,0.0
3116121,0.0
3116669,0.0
3117220,0.000122
3117768,0.0
3118318,0.0
3118866,0.0
3119417,0.000122
3119965,0.000122
3120516,0.000122
3121067,0.000122
3121615,0.000122
3122166,0.0
3122714,0.0
3123265,0.0
3123813,0.000122
3124364,0.000244
3124912,0.0
3125462,0.000122
3126013,0.000122
3126561,0.000122
3127112,0.0
3127660,0.0
3128211,0.000244
3128759,0.000244
3129310,0.000122
3129858,0.000122
3130409,0.0
3130957,0.0
3131508,0.0
3132058,0.000122
3132606,0.0
3133157,0.0
3133705,0.0
3134256,0.0
3134804,0.0
3135355,0.000122
3135903,0.000122
3136454,0.0
3137004,0.0
3137552,0.0
3138103,0.0
3138651,0.000122
3139202,0.0
3139750,0.000122
3140301,0.0
3140849,0.0
3141400,0.0
3141948,0.0
3142499,0.000122
3143050,0.000122
3143598,0.000122
3144148,0.0
3144696,0.000122
3145247,0.0
3145795,0.0
3146346,0.0
3146894,0.0
3147445,0.0
3147993,0.0
3148544,0.000122
3149095,0.0
3149643,0.0
3150193,0.0
3150741,0.0
3151292,0.0
3151840,0.000122
3152391,0.0
3152939,0.000122
3153490,0.0
3154041,0.000122
3154589,0.000122
3155140,0.0
3155688,0.000122
3156238,0.0
3156787,0.000366
3157337,0.0
3157885,0.000122
3158436,0.0
3158984,0.000122
3159535,0.000122
3160086,0.000244
3160634,0.000122
3161185,0.000122
3161733,0.000244
3162284,0.000122
3162832,0.000122
3163383,0.000122
3163931,0.000122
3164482,0.0
3165033,0.000244
3165581,0.000122
3166131,0.0
3166679,0.0
3167230,0.0
3167778,0.0
3168329,0.000244
3168877,0.0
3169428,0.0
3169976,0.0
3170527,0.0
3171078,0.0
3171626,0.000122
3172176,0.000244
3172725,0.000244
3173275,0.000122
3173823,0.000122
3174374,0.0
3174922,0.0
3175473,0.0
3176024,0.0
3176572,0.0
3177123,0.0
3177671,0.0
3178221,0.0
3178769,0.0
3179320,0.0
3179868,0.0
3180419,0.0
3180967,0.0
3181518,0.0
3182069,0.000244
3182617,0.0
3183168,0.0
3183716,0.000366
3184266,0.0
3184815,0.000122
3185365,0.000122
3185913,0.0
3186464,0.000122
3187015,0.0
3187563,0.0
3188114,0.0
3188662,0.000122
3189213,0.000122
3189761,0.0
3190312,0.0
3190860,0.000122
3191410,0.000244
3191959,0.000122
3192509,0.0
3193060,0.000122
3193608,0.000122
3194159,0.0
3194707,0.0
3195258,0.000122
3195806,0.000122
3196357,0.0
3196905,0.000122
3197456,0.0
3198006,0.0
3198554,0.0
3199105,0.0
3199653,0.0
3200204,0.000122
3200752,0.000122
3201303,0.000122
3201851,0.0
3669930,0.000122
3670481,0.000122
3671032,0.000122
3671580,0.000122
3672131,0.000122
3672679,0.000122
3673230,0.000122
3673778,0.000122
3674329,0.0
3674877,0.0
3675428,0.000244
3675976,0.0
3676526,0.0
3677077,0.0
3677625,0.0
3678176,0.000122
3678724,0.0
3679275,0.0
3679823,0.0
3680374,0.0
3680922,0.000122
